model,split,mmcp3d,mmcp4d,sig_vs_split,sig_vs_3d
persistence,0.7278441231929604,0.7479572595851666,0.7567567567567568,True,False
chronos_bolt_base,0.5160276555625393,0.5694531741043369,0.5713387806411062,True,False
timesfm_2_wx,0.518541797611565,0.5876807039597737,0.6021370207416719,True,False
moirai_1_1_wx,0.6109365179132621,0.6499057196731616,0.6499057196731616,True,False
xgboost,0.5619107479572596,0.5518541797611565,0.5688246385920804,False,False
